camera,vx,vy,heading,ax,yaw_rate
1759902465823761502,14.6697,-0.3711,19.893991,-3.061,-0.345115
1759902465825585586,14.6653,-0.3708,19.893434,-3.0603,-0.345234
1759902465850649069,14.5965,-0.3794,19.883728,-2.7251,-0.352007
1759902465899352683,14.5289,-0.4089,19.865601,-2.5341,-0.359967
1759902465986801311,14.331,-0.3611,19.834103,-2.0672,-0.355267
1759902466021641707,14.2582,-0.3371,19.821352,-2.0295,-0.364218
1759902466078617729,14.1386,-0.355,19.80057,-2.2704,-0.34567
1759902466128977688,14.0692,-0.3811,19.783373,-1.6903,-0.352477
1759902466177300787,13.9888,-0.3674,19.764879,-2.0058,-0.376128
1759902466228968687,13.9087,-0.3191,19.745319,-1.9647,-0.363811
1759902466277911998,13.8645,-0.3197,19.727221,-1.546,-0.383717
1759902466324885947,13.782,-0.3788,19.708395,-2.4658,-0.382495
1759902466373107272,13.6567,-0.4202,19.690105,-1.7897,-0.37812
1759902466411003830,13.6103,-0.4588,19.675181,-1.5064,-0.397317
1759902466463438000,13.5185,-0.45,19.654054,-2.2111,-0.387945
1759902466511390243,13.4017,-0.5111,19.635812,-1.8524,-0.375278
1759902466560086983,13.3429,-0.5418,19.616896,-1.2347,-0.394686
1759902466605264380,13.277,-0.5627,19.59877,-1.1448,-0.384004
1759902466653775437,13.2457,-0.4653,19.580571,-0.64,-0.366798
1759902466722405979,13.1874,-0.4724,19.555262,-0.6575,-0.367224
